std_ID,etudiantID,nom,prenom,annee_actuelle
0,2015_2ccf,Spataro,Sylvia,2015
1,2015_8cd5,Buchanan,Melissa,2015
2,2015_8e6d,Sage,Paulette,2015
3,2015_2c51,Disla,Margret,2015
4,2015_78f0,Salter,Babette,2015
5,2015_40bf,Steele,Jerry,2015
6,2015_bd94,Chu,Lourdes,2015
7,2015_cf4c,Samuels,Pam,2015
8,2015_60ab,Pierce,Patricia,2015
9,2015_3173,Moulton,John,2015
10,2015_de8a,Muir,Nick,2015
11,2015_7d41,Schmid,Amanda,2015
12,2015_be83,Finnemore,Mary,2015
13,2015_9438,Enderle,Julius,2015
14,2015_3d81,Glenn,Billy,2015
15,2015_0f2b,Kutz,Estelle,2015
16,2015_8edb,Mcdaniels,Marjorie,2015
17,2015_9797,Carter,Don,2015
18,2015_d53e,Vankeuren,Ray,2015
19,2015_9f97,Chaney,Cindy,2015
20,2015_d991,Fowler,Christopher,2015
21,2015_0d0e,Ford,Linda,2015
22,2015_558a,Avant,Lawanda,2015
23,2015_ed4a,Williams,Matilda,2015
24,2015_2c65,Madina,Evelia,2015
25,2015_c49a,Desmarais,Zachary,2015
26,2015_d9b3,Mack,James,2015
27,2015_0619,Balfour,Olivia,2015
28,2015_fbd6,Taylor,Fred,2015
29,2015_0db2,Leal,Christina,2015
30,2015_3355,Courtemanche,Colleen,2015
31,2015_3ac8,Olsen,Karla,2015
32,2015_420f,Wood,Ralph,2015
33,2015_e0fd,Melgoza,Joel,2015
34,2015_5d45,Roberts,Michael,2015
35,2015_acf7,Scarborough,Brian,2015
36,2015_8fc3,Wicks,James,2015
37,2015_d769,Mancias,Reginald,2015
38,2015_0b8b,Ocasio,Wanda,2015
39,2015_edbe,Scarce,Elizabeth,2015
40,2015_4595,Dawson,Marcus,2015
41,2015_de53,Sroka,Bethany,2015
42,2015_836f,Allen,April,2015
43,2015_f68f,Moses,Michael,2015
44,2015_03a0,Jones,Anne,2015
45,2015_4204,Lopez,Kay,2015
46,2015_5d51,Evans,Shelly,2015
47,2015_d576,Smith,John,2015
48,2015_e80e,Kerley,Arthur,2015
49,2015_8359,Barta,Suzanne,2015
50,2015_ae9c,Harris,Virginia,2015
51,2015_d6de,Gomez,Nancy,2015
52,2015_9316,Raper,Ruben,2015
53,2015_1da8,Gouldman,Matthew,2015
54,2015_05fe,Hawkins,Cheryl,2015
55,2015_5665,Bailey,Doris,2015
56,2015_29e2,Cornelius,Patricia,2015
57,2015_2f10,Lavadera,Stephanie,2015
